785820, 728253, 748121, 711396, 719432, 719265, 743827, 743370, 713711, 717300
872515, 873856, 882962, 892228, 871799, 898473, 915171, 908400, 928731, 900199
831939, 759843, 768036, 769422, 736016, 774501, 766373, 744063, 755165, 759070
935662, 938358, 927454, 910653, 934167, 901307, 882330, 962345, 948048, 934614
3449, 4526, 4400, 4213, 3180, 3200, 3160, 3353, 3411, 3563
10348, 11324, 9445, 10120, 10107, 10363, 10727, 9631, 10170, 10573
22008, 24274, 23675, 24509, 23649, 23250, 23018, 24067, 23892, 24001
37286, 37253, 40141, 37204, 39550, 36518, 40316, 37554, 39705, 40145
56402, 54070, 56227, 55853, 56052, 55637, 51254, 53245, 51214, 54108
161259, 158211, 155971, 147662, 149694, 158930, 156394, 159942, 156745, 159278
344410, 341905, 331984, 332748, 346279, 337566, 336485, 346946, 372405, 344648
538843, 545155, 522233, 527989, 538287, 534723, 530727, 516875, 508904, 537065
705590, 747444, 752241, 719308, 719867, 732899, 733027, 731235, 709336, 699720
3170, 3342, 4533, 3355, 3004, 3255, 3628, 3193, 3136, 3133
10517, 9605, 10449, 10160, 9924, 10663, 10557, 10303, 10330, 9843
23002, 23416, 23270, 23202, 24038, 23205, 24152, 23758, 23941, 24458
37981, 39816, 36632, 37362, 38799, 38887, 38599, 38921, 39961, 38536
55597, 53366, 55940, 54102, 57799, 55562, 57433, 52110, 56206, 51822
160318, 149443, 157907, 161232, 155484, 159787, 158019, 159799, 164346, 164470
344734, 346878, 357081, 336985, 344296, 338065, 340870, 350341, 341238, 350666
531274, 534463, 528458, 520376, 527921, 536627, 534834, 531263, 531877, 521469
759228, 712533, 728347, 711734, 718741, 718521, 731316, 715359, 705758, 704067
3283, 5361, 3626, 3019, 3180, 3143, 2964, 3349, 3401, 2980
9798, 10051, 10227, 10169, 10032, 9578, 9984, 10764, 10291, 10024
23199, 22391, 22517, 26909, 22874, 22257, 23508, 25078, 23582, 23485
39148, 36992, 39802, 38852, 48335, 40987, 36738, 37297, 40341, 36555
54277, 54643, 56305, 57029, 54184, 56286, 56278, 56251, 57089, 54401
146317, 178404, 178821, 160112, 168459, 170379, 160250, 171106, 171887, 154940
337826, 371557, 351896, 353434, 351288, 348281, 339914, 335640, 358907, 338232
527548, 521297, 550739, 546473, 535991, 534929, 524265, 531832, 551381, 542360
704425, 722662, 750219, 714433, 711341, 717245, 722232, 703668, 720702, 709663
3088, 3165, 3202, 3323, 3291, 3569, 3087, 3154, 3019, 3099
9692, 10211, 9649, 9949, 9754, 10080, 9389, 10434, 9781, 10196
23017, 22916, 23160, 23103, 23210, 24281, 22420, 25733, 24154, 24111
37801, 38625, 39255, 37727, 40024, 40005, 37055, 36522, 38369, 38551
55508, 58150, 55088, 56357, 53586, 55568, 54378, 60202, 58995, 56226
152529, 154847, 152638, 156863, 160771, 157811, 151759, 161325, 161898, 151944
346222, 335358, 331627, 336855, 350244, 338591, 346012, 363683, 348538, 328883
534387, 526370, 550088, 533043, 548647, 517381, 556684, 523117, 550490, 550533
796027, 756633, 758882, 745190, 745563, 733977, 745375, 750943, 739474, 740803
